,Distance
Panel1_cross1,11.40175425099138
Panel1_cross2,16.15549442140351
Panel1_cross3,16.278820596099706
Panel1_cross4,10.770329614269007
Panel2_cross1,4.123105625617661
Panel2_cross2,10.295630140987
Panel2_cross3,23.769728648009426
Panel2_cross4,10.44030650891055
Panel3_cross1,14.560219778561036
Panel3_cross2,15.524174696260024
Panel3_cross3,4.123105625617661
Panel3_cross4,15.231546211727817
Panel4_cross1,3.605551275463989
Panel4_cross2,7.0710678118654755
Panel4_cross3,13.416407864998739
Panel4_cross4,5.385164807134504
