,Distance
Panel1_circle1,6.324555320336759
Panel1_circle2,5.0990195135927845
Panel1_circle3,3.1622776601683795
Panel1_circle4,13.341664064126334
Panel2_circle1,7.810249675906654
Panel2_circle2,8.06225774829855
Panel2_circle3,2.8284271247461903
Panel2_circle4,11.704699910719626
Panel3_circle1,8.54400374531753
Panel3_circle2,14.142135623730953
Panel3_circle3,17.26267650163207
Panel3_circle4,17.0
Panel4_circle1,4.242640687119285
Panel4_circle2,7.071067811865476
Panel4_circle3,5.656854249492381
Panel4_circle4,13.601470508735444
